AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2021,1,05,ANTIOQUIA,05361,ITUANGO,1086,28142,"0,0386"
2022,2,27,CHOCO,27077,BAJO BAUDO,267,32640,"0,0082"
2021,3,68,SANTANDER,68077,BARBOSA,4058,32328,"0,1255"
2022,1,15,BOYACA,15759,SOGAMOSO,31469,134977,"0,2331"
2021,2,50,META,50568,PUERTO GAITAN,1434,44239,"0,0324"
2020,3,05,ANTIOQUIA,05756,SONSON,4430,37301,"0,1188"
2021,1,25,CUNDINAMARCA,25430,MADRID,33897,126386,"0,2682"
2020,2,25,CUNDINAMARCA,25797,TENA,92,10271,"0,009"
2021,1,25,CUNDINAMARCA,25599,APULO,593,8955,"0,0662"
2022,2,15,BOYACA,15293,GACHANTIVA,51,2905,"0,0176"
2021,2,08,ATLANTICO,08606,REPELON,882,28155,"0,0313"
2020,4,25,CUNDINAMARCA,25488,NILO,214,11663,"0,0183"
2021,3,05,ANTIOQUIA,05665,SAN PEDRO DE URABA,4152,32322,"0,1285"
2021,2,73,TOLIMA,73148,CARMEN DE APICALA,288,11003,"0,0262"
2020,4,18,CAQUETA,18610,SAN JOSE DEL FRAGUA,30,13282,"0,0023"
2021,2,19,CAUCA,19137,CALDONO,300,41953,"0,0072"
2021,1,08,ATLANTICO,08549,PIOJO,17,7118,"0,0024"
2021,2,13,BOLIVAR,13300,HATILLO DE LOBA,54,12899,"0,0042"
2022,4,47,MAGDALENA,47703,SAN ZENON,71,13125,"0,0054"
2022,1,05,ANTIOQUIA,05579,PUERTO BERRIO,12121,41480,"0,2922"
2022,2,20,CESAR,20060,BOSCONIA,3768,45247,"0,0833"
2022,2,68,SANTANDER,68720,SANTA HELENA DEL OPON,7,3514,"0,002"
2021,4,05,ANTIOQUIA,05004,ABRIAQUI,155,2777,"0,0558"
2021,2,27,CHOCO,27001,QUIBDO,18424,137257,"0,1342"
2020,4,73,TOLIMA,73001,IBAGUE,129726,536439,"0,2418"
2020,2,41,HUILA,41797,TESALIA,224,11064,"0,0202"
2022,3,19,CAUCA,19780,SUAREZ,45,33401,"0,0013"
2023,1,05,ANTIOQUIA,05842,URAMITA,270,7211,"0,0374"
2022,2,05,ANTIOQUIA,05142,CARACOLI,432,4744,"0,0911"
2022,1,66,RISARALDA,66318,GUATICA,43,12374,"0,0035"
2022,2,85,CASANARE,85279,RECETOR,10,1552,"0,0064"
2022,4,19,CAUCA,19845,VILLA RICA,169,21727,"0,0078"
2022,4,70,SUCRE,70678,SAN BENITO ABAD,448,30565,"0,0147"
2021,3,68,SANTANDER,68245,EL GUACAMAYO,75,2219,"0,0338"
2022,3,25,CUNDINAMARCA,25518,PAIME,17,4589,"0,0037"
2021,2,54,NORTE DE SANTANDER,54871,VILLA CARO,44,5548,"0,0079"
2021,4,73,TOLIMA,73024,ALPUJARRA,53,4666,"0,0114"
2022,2,41,HUILA,41357,IQUIRA,621,9826,"0,0632"
2022,1,15,BOYACA,15842,UMBITA,174,7878,"0,0221"
2021,1,15,BOYACA,15377,LABRANZAGRANDE,20,3615,"0,0055"
2020,4,85,CASANARE,85400,TAMARA,24,6854,"0,0035"
2022,1,05,ANTIOQUIA,05873,VIGIA DEL FUERTE,242,9583,"0,0253"
2020,4,15,BOYACA,15531,PAUNA,52,7342,"0,0071"
2023,1,25,CUNDINAMARCA,25769,SUBACHOQUE,2113,17544,"0,1204"
2021,1,44,LA GUAJIRA,44874,VILLANUEVA,2007,31630,"0,0635"
2022,4,05,ANTIOQUIA,05495,NECHI,2221,27451,"0,0809"
2021,1,27,CHOCO,27495,NUQUI,533,17342,"0,0307"
2021,4,68,SANTANDER,68322,GUAPOTA,32,2468,"0,013"
2021,3,85,CASANARE,85400,TAMARA,40,6771,"0,0059"
2020,4,68,SANTANDER,68079,BARICHARA,1042,10813,"0,0964"
2022,2,05,ANTIOQUIA,05736,SEGOVIA,9128,40231,"0,2269"
2021,2,15,BOYACA,15293,GACHANTIVA,33,2857,"0,0116"
2021,2,85,CASANARE,85001,YOPAL,35165,184803,"0,1903"
2021,2,52,NARI�O,52687,SAN LORENZO,292,19026,"0,0153"
2021,1,13,BOLIVAR,13062,ARROYOHONDO,39,8602,"0,0045"
2021,2,41,HUILA,41668,SAN AGUSTIN,1658,34700,"0,0478"
2023,1,19,CAUCA,19760,SOTARA,7,14856,"0,0005"
2022,3,52,NARI�O,52560,POTOSI,23,10658,"0,0022"
2022,2,54,NORTE DE SANTANDER,54599,RAGONVALIA,159,6613,"0,024"
2022,2,25,CUNDINAMARCA,25873,VILLAPINZON,805,19410,"0,0415"
2022,3,85,CASANARE,85015,CHAMEZA,65,2470,"0,0263"
2021,2,54,NORTE DE SANTANDER,54003,ABREGO,1172,34854,"0,0336"
2022,3,13,BOLIVAR,13655,SAN JACINTO DEL CAUCA,11,10907,"0,001"
2021,1,73,TOLIMA,73275,FLANDES,5235,29830,"0,1755"
2021,4,05,ANTIOQUIA,05576,PUEBLORRICO,301,8959,"0,0336"
2020,2,05,ANTIOQUIA,05051,ARBOLETES,1131,30663,"0,0369"
2022,1,86,PUTUMAYO,86219,COLON,203,5719,"0,0355"
2022,4,25,CUNDINAMARCA,25530,PARATEBUENO,51,9520,"0,0054"
2022,2,20,CESAR,20383,LA GLORIA,1107,19283,"0,0574"
2020,4,13,BOLIVAR,13810,TIQUISIO,41,18874,"0,0022"
2022,3,52,NARI�O,52207,CONSACA,176,14285,"0,0123"
2021,3,68,SANTANDER,68572,PUENTE NACIONAL,259,15162,"0,0171"
